Grad.Year,Student.ID,SEM1FALLGPA,SEM2SPRINGGPA,SEM3FALLGPA,SEM4SPRINGGPA,SEM5FALLGPA,"SEM6SPRINGGPA
PREDICT",Course Percent,ACT,CumulAnatomy,CumulBehavior,CumulEpidem,CumulGenetic,CumulImmun,CumulMicro,CumulNutri,CumulParasit,CumulPath,CumulPharm,CumulPhys,CumulTox,Prob_of_passing_NAVLE.fit,Prob_of_passing_NAVLE.lwr,,Prob_of_passing_NAVLE.upr
2024,@01234567,2.285714286,2.285714286,3.6,2.76,3.6,3.333,NA,83,63.93,88.02,67.04,89.88,58.58,68.22,73.17,87.53,76.18,76.68,58.98,82,455.0961411,369.7470955,,540.4451867
2024,@01234568,2.666666667,2.19047619,2.380952381,3.2,2.94,2.857,NA,89,73.61,72.16,60.39,88.47,68.39,69.03,79.66,71.84,70.97,71.31,67.78,88.16,456.3278511,370.5402608,,542.1154415
2024,@01234569,2.80952381,2.714285714,2.761904762,2.666666667,3.333333333,3,NA,88,72.89,81.33,85.86,76.79,72.62,75.04,80.28,85.25,80.95,77.22,65.58,77.48,443.4376013,359.2262495,,527.6489532
2024,@01234570,3.142857143,3.571428571,2.761904762,3.142857143,3.733333333,4,NA,95,79.37,78.67,81.82,78.57,68.86,80.97,80.28,88.96,81.95,78.86,73.79,71.76,486.3812323,401.7922214,,570.9702432
2024,@01234571,2.666666667,2.333333333,2.761904762,2.285714286,3.529411765,3.143,NA,92,69.94,82.67,74.75,83.93,77.88,69.95,70.42,72.4,79.61,70.07,66.83,71.76,433.1333886,348.0302275,,518.2365498
2024,@01234572,2.714285714,3.095238095,2.761904762,2.761904762,2.933333333,2.857,NA,89,75.26,74.67,81.82,80.36,72.62,74.19,83.1,84.07,80.55,79.96,68.57,77.48,445.3237595,361.0011596,,529.6463594
2024,@01234573,3.952380952,3.619047619,3.619047619,3.619047619,3.733333333,4,NA,94,90.63,80,87.88,73.21,91.42,88.6,87.32,94.21,89.34,81.06,87.22,88.91,515.7687771,431.6112822,PASS,599.9262719
2024,@01234574,2.285714286,2.428571429,2.857142857,2.761904762,3.666666667,3.667,NA,85,71.73,85.33,80.81,87.5,62.09,63.17,70.42,87.42,72.89,73.92,69.31,68.91,399.969662,314.9443286,,484.9949954
2024,@01234575,2.80952381,3.238095238,3.238095238,2.761904762,3.75,3.333,NA,91,77.98,86.67,78.79,78.57,75.63,73.34,85.92,88.69,77.75,76.67,73.54,71.76,447.5968491,362.8607018,,532.3329963
2024,@01234576,2.714285714,2.857142857,2.857142857,2.761904762,3.888888889,3,NA,88,75,76,72.73,76.79,72.62,80.97,87.32,80.27,78.75,72.27,75.53,74.62,483.1759735,398.3898563,,567.9620907
2024,@01234577,3.571428571,3.619047619,3.619047619,3.619047619,4,3,NA,93,83.31,85.33,88.89,96.43,88.41,84.36,92.96,84.34,90.76,89.85,88.47,83.19,537.3525796,452.9058025,PASS,621.7993568
2024,@01234578,2.285714286,2.285714286,2.380952381,2.285714286,3.176,4,NA,85,61.11,76,71.72,78.57,61.34,72.49,84.51,73.67,77.72,71.17,72.55,71.76,440.935886,356.1091461,,525.7626259
